adult,budget,genres,id,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,collection_name,collection_id,genre_ids,production_companies_ids,actor_1_name,actor_1_gender,actor_1_id,actor_2_name,actor_2_gender,actor_2_id,actor_3_name,actor_3_gender,actor_3_id,actor_4_name,actor_4_gender,actor_4_id,actor_5_name,actor_5_gender,actor_5_id,director_name,director_gender,director_id,keyword_1_name,keyword_1_id,keyword_2_name,keyword_2_id,keyword_3_name,keyword_3_id,keyword_4_name,keyword_4_id,keyword_5_name,keyword_5_id
False,98000000,"Action, Adventure",1408,en,7.284477,"Le Studio Canal+, Laurence Mark Productions, Metro-Goldwyn-Mayer (MGM), Carolco Pictures","FR, DE, IT, US",1995-12-22,10017322.0,119.0,"English, Latin",Cutthroat Island,5.7,137.0,,,"28, 12","183, 415, 8411, 14723",Geena Davis,1,16935,Matthew Modine,2,8654,Frank Langella,2,8924,Maury Chaykin,2,7868,Patrick Malahide,2,8979,Renny Harlin,2,16938,exotic island,911,treasure,1454,map,1969,ship,3799,scalp,5470
False,52000000,"Drama, Crime",524,en,10.137389,"Universal Pictures, Légende Entreprises, Syalis DA, De Fina-Cappa","FR, US",1995-11-22,116112375.0,178.0,English,Casino,7.8,1343.0,,,"18, 80","33, 10898, 11583, 11584",Robert De Niro,2,380,Sharon Stone,1,4430,Joe Pesci,2,4517,James Woods,2,4512,Don Rickles,2,7167,Martin Scorsese,2,1032,poker,383,drug abuse,726,1970s,1228,overdose,2635,illegal prostitution,33625
False,16500000,"Drama, Romance",4584,en,10.673167,"Columbia Pictures Corporation, Mirage Enterprises","GB, US",1995-12-13,135000000.0,136.0,English,Sense and Sensibility,7.2,364.0,,,"18, 10749","441, 932",Kate Winslet,1,204,Emma Thompson,1,7056,Hugh Grant,2,3291,Tom Wilkinson,2,207,Alan Rickman,2,4566,Ang Lee,2,1614,bowling,420,based on novel,818,servant,964,country life,2755,jane austen,7564
False,4000000,"Crime, Comedy",5,en,9.026586,"Miramax Films, A Band Apart",US,1995-12-09,4300000.0,98.0,English,Four Rooms,6.5,539.0,,,"80, 35","14, 59",Tim Roth,2,3129,Antonio Banderas,2,3131,Jennifer Beals,1,3130,Madonna,1,3125,Marisa Tomei,1,3141,Allison Anders,1,3110,hotel,612,new year's eve,613,witch,616,bet,622,hotel room,922
False,30000000,"Crime, Comedy, Adventure",9273,en,8.205448,"O Entertainment, Warner Bros., Morgan Creek Productions",US,1995-11-10,212385533.0,90.0,English,Ace Ventura: When Nature Calls,6.1,1128.0,Ace Ventura Collection,3167,"80, 35, 12","5682, 6194, 10210",Jim Carrey,2,206,Ian McNeice,2,3547,Simon Callow,2,4001,Maynard Eziashi,2,57096,Bob Gunton,2,4029,Steve Oedekerk,2,4489,africa,409,indigenous,1551,human animal relationship,2526,bat,5155,,
False,60000000,"Action, Comedy, Crime",11517,en,7.337906,Columbia Pictures,US,1995-11-21,35431113.0,103.0,English,Money Train,5.4,224.0,,,"28, 35, 80",5,Wesley Snipes,2,10814,Woody Harrelson,2,57755,Jennifer Lopez,1,16866,Robert Blake,2,9287,Chris Cooper,2,2955,Joseph Ruben,2,52629,brother brother relationship,380,subway,1552,new york city,14512,new york subway,155735,train robbery,156120
False,30250000,"Comedy, Thriller, Crime",8012,en,12.669608,"Jersey Films, Metro-Goldwyn-Mayer (MGM)",US,1995-10-20,115101622.0,105.0,English,Get Shorty,6.4,305.0,Chili Palmer Collection,91698,"35, 53, 80","216, 8411",John Travolta,2,8891,Gene Hackman,2,193,Rene Russo,1,14343,Danny DeVito,2,518,Dennis Farina,2,1117,Barry Sonnenfeld,2,5174,gambling,395,miami,416,based on novel,818,job,8438,murder,9826
False,0,"Drama, Thriller",1710,en,10.701801,"Regency Enterprises, New Regency Pictures",US,1995-10-27,0.0,124.0,"English, Deutsch",Copycat,6.5,199.0,,,"18, 53","508, 10104",Sigourney Weaver,1,10205,Holly Hunter,1,18686,Will Patton,2,883,William McNamara,2,18687,Harry Connick Jr.,2,18688,Jon Amiel,2,15148,police brutality,796,psychology,2800,police operation,4668,police protection,5430,serial killer,10714
False,50000000,"Action, Adventure, Crime, Thriller",9691,en,11.065939,"Silver Pictures, Canal+, Warner Bros., Dino De Laurentiis Company, Donner/Shuler-Donner Productions, Evansgideon/Lazar","FR, US",1995-10-06,30303072.0,132.0,"English, Español, Nederlands",Assassins,6.0,394.0,,,"28, 12, 80, 53","1885, 5358, 6194, 10308, 23397, 25061",Sylvester Stallone,2,16483,Antonio Banderas,2,3131,Julianne Moore,1,1231,Anatoli Davydov,0,58556,Muse Watson,2,17348,Richard Donner,2,7187,competition,271,assassination,441,cia,591,bank,974,cat,977
False,0,"Drama, Fantasy, Science Fiction, Thriller",12665,en,12.133094,"Caravan Pictures, Hollywood Pictures",US,1995-10-27,0.0,111.0,English,Powder,6.3,143.0,,,"18, 14, 878, 53","175, 915",Mary Steenburgen,1,2453,Sean Patrick Flanery,2,54789,Lance Henriksen,2,2714,Jeff Goldblum,2,4785,Brandon Smith,2,36637,Victor Salva,2,56349,dead animal,7345,shot to death,11325,teenage boy,18068,held at gunpoint,18320,teacher student relationship,41355
False,3600000,"Drama, Romance",451,en,10.332025,"United Artists, Intial Productions",US,1995-10-27,49800000.0,112.0,English,Leaving Las Vegas,7.1,365.0,,,"18, 10749","60, 15547",Nicolas Cage,2,2963,Elisabeth Shue,1,1951,Julian Sands,2,6104,Richard Lewis,2,6105,Steven Weber,2,6106,Mike Figgis,2,6111,individual,30,prostitute,549,alcohol,567,casino,585,love at first sight,699
False,18000000,"Fantasy, Science Fiction, Adventure",902,fr,9.822423,"Procirep, Constellation Productions, France 3 Cinéma, Claudie Ossard Productions, Eurimages, MEDIA Programme of the European Union, Cofimage 5, Televisión Española (TVE), Tele München Fernseh Produktionsgesellschaft (TMG), Club d'Investissement Média, Canal+ España, Elías Querejeta Producciones Cinematográficas S.L., Centre National de la Cinématographie (CNC), Victoires Productions, Constellation, Lumière Pictures, Canal+, Studio Image, Cofimage 4, Ossane, Phoenix Images","FR, DE, ES",1995-05-16,1738611.0,108.0,"广州话 / 廣州話, Français",The City of Lost Children,7.6,308.0,,,"14, 878, 12","311, 590, 591, 592, 850, 851, 1871, 6639, 7237, 8170, 9335, 12009, 18367, 25020, 25021, 25129, 47532, 68517, 79437, 79438, 79439",Ron Perlman,2,2372,Dominique Pinon,2,2413,Judith Vittet,0,13842,Daniel Emilfork,2,13843,Jean-Claude Dreyfus,2,13687,Jean-Pierre Jeunet,2,2419,clone,402,dream,1566,island,2041,eye,4484,dystopia,4565
False,0,"Drama, Crime",9909,en,9.481338,"Hollywood Pictures, Via Rosa Productions, Don Simpson/Jerry Bruckheimer Films",US,1995-08-11,180000000.0,99.0,English,Dangerous Minds,6.4,249.0,,,"18, 80","915, 10103, 10288",Michelle Pfeiffer,1,1160,George Dzundza,2,10477,Courtney B. Vance,2,24047,Robin Bartlett,1,11902,John Neville,2,12642,John N. Smith,2,60295,rap music,897,karate,3436,high school,6270,naval officer,6610,teacher,10508
False,29500000,"Science Fiction, Thriller, Mystery",63,en,12.297305,"Universal Pictures, Atlas Entertainment, Classico",US,1995-12-29,168840000.0,129.0,"English, Français",Twelve Monkeys,7.4,2470.0,,,"878, 53, 9648","33, 507, 17031",Bruce Willis,2,62,Madeleine Stowe,1,289,Brad Pitt,2,287,Christopher Plummer,2,290,David Morse,2,52,Terry Gilliam,2,280,schizophrenia,222,philadelphia,276,cassandra syndrom,277,stockholm syndrome,278,time travel,4379
False,30000000,"Fantasy, Drama, Comedy, Family",9598,en,14.404764,"Universal Pictures, Kennedy Miller Productions","AU, US",1995-07-18,254134910.0,89.0,English,Babe,6.0,756.0,Babe Collection,9435,"14, 18, 35, 10751","33, 2537",Christine Cavanaugh,1,58136,Miriam Margolyes,1,6199,Danny Mann,2,52699,Hugo Weaving,2,1331,Miriam Flynn,1,35109,Chris Noonan,2,58137,sheep,3020,pig,4931,affection,5608,piglet,8082,heroism,11115
False,11000000,Drama,687,en,6.891317,"Havoc, PolyGram Filmed Entertainment, Working Title Films","US, GB",1995-12-29,39363635.0,122.0,English,Dead Man Walking,7.3,350.0,,,18,"406, 1382, 10163",Susan Sarandon,1,4038,Sean Penn,2,2228,Robert Prosky,2,10360,Raymond J. Barry,2,10361,R. Lee Ermey,2,8655,Tim Robbins,2,504,prison,378,rape,570,socially deprived family,1952,penalty,2060,death penalty,2122
False,0,"Comedy, Family, Romance",33689,en,7.777735,"Dualstar Productions, Warner Bros., Rysher Entertainment, Orr & Cruickshank",US,1995-11-17,0.0,101.0,English,It Takes Two,6.1,149.0,,,"35, 10751, 10749","6130, 6194, 11661, 89131",Kirstie Alley,1,1796,Steve Guttenberg,2,26472,Ashley Olsen,1,67848,Mary-Kate Olsen,1,67849,Jane Sibbett,1,92255,Andy Tennant,2,17167,orphan,13014,identical twin,204353,,,,,,
False,12000000,"Comedy, Drama, Romance",9603,en,9.882383,Paramount Pictures,US,1995-07-19,0.0,97.0,"Español, English",Clueless,6.9,828.0,,,"35, 18, 10749",4,Alicia Silverstone,0,5588,Stacey Dash,1,58150,Brittany Murphy,1,328,Paul Rudd,2,22226,Donald Faison,2,49002,Amy Heckerling,1,57434,puberty,1525,high school,6270,make a match,6664,spoiled child,7208,gay interest,10199
False,18000000,"Action, Fantasy",9312,en,10.870138,"New Line Cinema, Threshold Entertainment",US,1995-08-18,122195920.0,101.0,English,Mortal Kombat,5.4,452.0,Mortal Kombat Collection,9818,"28, 14","12, 4174",Christopher Lambert,2,38559,Robin Shou,0,57250,Linden Ashby,2,57251,Cary-Hiroyuki Tagawa,2,11398,Bridgette Wilson,0,20751,Paul W.S. Anderson,2,4014,martial arts,779,monster,1299,island,2041,gore,10292,sorcerer,10821
False,20000000,"Fantasy, Drama, Comedy, Thriller",577,en,10.448481,"The Rank Organisation, Columbia Pictures Corporation",US,1995-05-20,21284514.0,106.0,English,To Die For,6.7,177.0,,,"14, 18, 35, 53","364, 441",Nicole Kidman,1,2227,Matt Dillon,2,2876,Joaquin Phoenix,2,73421,Casey Affleck,2,1893,Illeana Douglas,1,7796,Gus Van Sant,2,5216,adultery,596,winter,1442,obsession,1523,television,2136,new hampshire,6018
False,33000000,"Crime, Mystery, Thriller",807,en,18.45743,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",US,1995-09-22,327311859.0,127.0,English,Se7en,8.1,5915.0,,,"80, 9648, 53","12, 4286, 65394",Brad Pitt,2,287,Morgan Freeman,2,192,Gwyneth Paltrow,1,12052,John C. McGinley,2,11885,Kevin Spacey,2,1979,David Fincher,2,7467,self-fulfilling prophecy,476,detective,703,s.w.a.t.,1470,drug dealer,2231,evisceration,3597
False,55000000,"Adventure, Animation, Drama, Family",10530,en,13.280069,"Walt Disney Pictures, Walt Disney Feature Animation",US,1995-06-14,346079773.0,81.0,English,Pocahontas,6.7,1509.0,Pocahontas Collection,136214,"12, 16, 18, 10751","2, 10217",Irene Bedard,1,65529,Mel Gibson,2,2461,David Ogden Stiers,2,28010,John Kassir,2,31365,Russell Means,2,3203,Mike Gabriel,2,65530,culture clash,1463,settler,3591,forbidden love,3691,colony,4090,musical,4344
False,6000000,"Drama, Crime, Thriller",629,en,16.302466,"Blue Parrot Productions, Bad Hat Harry Productions",US,1995-07-19,23341568.0,106.0,"Español, English, Français, Magyar",The Usual Suspects,8.1,3334.0,,,"18, 80, 53","361, 9168",Stephen Baldwin,2,9045,Gabriel Byrne,2,5168,Chazz Palminteri,2,9046,Kevin Pollak,2,7166,Pete Postlethwaite,2,4935,Bryan Singer,2,9032,law,3703,relatives,5493,theft,14604,criminal,15009,criminal mastermind,18023
False,15000000,"Comedy, Romance",11448,en,15.899134,"Miramax Films, Magnolia Pictures",US,1995-09-13,6700000.0,95.0,English,Mighty Aphrodite,6.7,145.0,,,"35, 10749","14, 1030",Woody Allen,2,1243,Mira Sorvino,1,23931,Helena Bonham Carter,1,1283,F. Murray Abraham,2,1164,Donald Symington,2,10560,Woody Allen,2,1243,prostitute,549,adoption,2393,adoptive father,4130,childlessness,5885,looking for  birth parents,6230
False,0,"Comedy, Drama, Romance",11010,it,10.168437,,"BE, FR, IT",1994-09-22,0.0,108.0,"Italiano, Español",The Postman,7.6,181.0,,,"35, 18, 10749",,Philippe Noiret,2,24366,Massimo Troisi,0,67792,Maria Grazia Cucinotta,1,10777,Renato Scarpa,2,14149,Linda Moretti,0,538696,Michael Radford,2,28898,island,2041,letter,3344,postman,4461,fisherman,5420,poet,5933
False,45000000,"Adventure, Family, Fantasy",11359,en,10.673296,"Paramount Pictures, Columbia Pictures Corporation, The Kennedy/Marshall Company",US,1995-07-14,0.0,96.0,English,The Indian in the Cupboard,5.9,136.0,,,"12, 10751, 14","4, 441, 862",Hal Scardino,2,69301,Litefoot,2,69302,Lindsay Crouse,1,32225,Richard Jenkins,2,28633,Rishi Bhat,0,1318612,Frank Oz,2,7908,cupboard,1990,games,6186,puppet,6300,parallel world,33465,toy comes to life,187065
False,0,"Music, Drama, Family",2054,en,7.137117,"Hollywood Pictures, The Charlie Mopic Company, PolyGram Filmed Entertainment, Interscope Communications",US,1995-12-29,106269971.0,137.0,English,Mr. Holland's Opus,6.9,115.0,,,"10402, 18, 10751","915, 916, 1382, 10201",Richard Dreyfuss,2,3037,Glenne Headly,1,21104,Jay Thomas,2,21105,Olympia Dukakis,1,3019,William H. Macy,2,3905,Stephen Herek,2,18356,composer,1233,mentor,1310,deaf-mute,1635,musical,4344,apprentice,4488
False,0,Comedy,10607,en,11.700115,"Miramax Films, Island Pictures, Ivory Way Productions",US,1996-01-12,0.0,89.0,"English, Español",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,,,35,"14, 3492, 5441",Shawn Wayans,2,35690,Marlon Wayans,2,9562,Tracey Cherelle Jones,1,66131,Chris Spencer,2,27590,Vivica A. Fox,1,2535,Paris Barclay,2,45649,date,248,slang,398,hip-hop,898,cousin,4438,parody,9755
False,15000000,Comedy,9536,en,6.387469,"Metro-Goldwyn-Mayer (MGM), Motion Picture Corporation of America (MPCA), 3 Arts Entertainment, Weasel Productions",US,1996-01-12,0.0,88.0,"English, Pусский",Bio-Dome,4.4,110.0,,,35,"8411, 11061, 36390, 38003",Pauly Shore,2,64998,Stephen Baldwin,2,9045,Joey Lauren Adams,1,16484,Teresa Hill,1,43433,William Atherton,2,7676,Jason Bloom,2,57870,biotope,4166,vegetarian,4459,pollution,6305,,,,
False,3500000,Comedy,10634,en,14.56965,New Line Cinema,US,1995-04-26,28215918.0,91.0,English,Friday,7.0,513.0,Friday Collection,43563,35,12,Ice Cube,2,9778,Chris Tucker,2,66,Nia Long,1,9781,Tom Lister Jr.,2,8396,John Witherspoon,2,56902,F. Gary Gray,2,37932,rap music,897,parent child relationship,970,rapper,4562,job,8438,,
False,19000000,"Horror, Action, Thriller, Crime",755,en,15.339153,"A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",US,1996-01-19,25836616.0,108.0,"English, Español",From Dusk Till Dawn,6.9,1644.0,From Dusk Till Dawn Collection,10924,"27, 28, 53, 80","59, 7405, 11705, 53009",George Clooney,2,1461,Quentin Tarantino,2,138,Harvey Keitel,2,1037,Juliette Lewis,1,3196,Ernest Liu,0,11158,Robert Rodriguez,2,2294,dancing,246,brother brother relationship,380,sexual obsession,459,showdown,797,sheriff,798
False,20000000,"Horror, Science Fiction",9102,en,12.758848,"The Movie Network (TMN), Allegro Films, Fuji Eight Company Ltd., Fries Film Group, Super Ecran, Triumph Films","CA, JP, US",1995-09-08,5781885.0,108.0,English,Screamers,6.1,154.0,Screamers Collection,122017,"27, 878","3388, 4899, 7958, 23096, 23097, 23098",Peter Weller,2,27811,Roy Dupuis,2,56977,Jennifer Rubin,1,56978,Andrew Lauer,2,56979,Liliana Komorowska,1,25689,Christian Duguay,2,25735,man vs machine,312,alien planet,10158,struggle for survival,15354,,,,
False,0,Comedy,13997,en,8.963037,Paramount Pictures,US,1996-02-01,32.0,87.0,English,Black Sheep,6.0,124.0,,,35,4,Chris Farley,2,58198,David Spade,2,60950,Grant Heslov,2,31511,Tim Matheson,2,21561,Gary Busey,2,2048,Penelope Spheeris,0,58448,nitrous oxide,169078,candid camera,169079,double act,169085,political satire,169086,crooked politician,169097
False,8169363,"Crime, Drama, Thriller",2086,en,6.848591,Paramount Pictures,US,1995-11-22,8175346.0,90.0,English,Nick of Time,6.1,190.0,,,"80, 18, 53",4,Johnny Depp,2,85,Courtney Chase,1,21365,Charles S. Dutton,2,17764,Christopher Walken,2,4690,Roma Maffia,1,21366,John Badham,2,12840,assassination,441,train station,477,politics,6078,los angeles,12670,,
False,14000000,"Comedy, Horror, Romance",12158,en,9.071127,Paramount Pictures,US,1995-10-26,19800000.0,100.0,English,Vampire in Brooklyn,4.5,113.0,,,"35, 27, 10749",4,Eddie Murphy,2,776,Angela Bassett,1,9780,Allen Payne,2,32486,Kadeem Hardison,2,66554,John Witherspoon,2,56902,Wes Craven,2,5140,vampire,3133,half vampire,3630,,,,,,
False,0,"Comedy, Drama, Romance",9283,en,4.670562,"Miramax Films, Woods Entertainment",US,1996-02-09,0.0,112.0,English,Beautiful Girls,6.6,103.0,,,"35, 18, 10749","14, 979",Matt Dillon,2,2876,Noah Emmerich,2,11315,Annabeth Gish,1,49425,Lauren Holly,1,34485,Timothy Hutton,2,16327,Ted Demme,2,34849,hometown,155808,,,,,,,,
False,50000000,"Action, Adventure, Drama, Thriller",9208,en,14.957626,"Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",US,1996-02-09,150270147.0,108.0,English,Broken Arrow,5.7,459.0,,,"28, 12, 18, 53","306, 456, 11362",John Travolta,2,8891,Christian Slater,2,2224,Samantha Mathis,1,20767,Delroy Lindo,2,18792,Bob Gunton,2,4029,John Woo,2,11401,helicopter,720,river,1261,captain,1316,underground,1353,mexican standoff,1666
False,3000000,Drama,406,fr,12.108196,"Egg Pictures, PolyGram Filmed Entertainment, Canal+, Les Productions Lazennec, La Sept Cinéma, Kasso Inc. Productions, Studio Image, Cofinergie 6",FR,1995-05-31,0.0,98.0,Français,La Haine,7.9,695.0,,,18,"802, 1382, 5358, 5869, 16366, 22684, 68517, 68518",Vincent Cassel,2,1925,Hubert Koundé,2,5418,Saïd Taghmaoui,0,5419,Abdel Ahmed Ghili,2,5420,Souleymane Dicko,2,72270,Mathieu Kassovitz,2,2406,paris,90,neo-nazi,376,skinhead,379,robbery,642,police brutality,796
False,7000000,"Comedy, Crime, Drama",13685,en,6.904831,"Gracie Films, Columbia Pictures Corporation",US,1996-02-21,560069.0,91.0,"Español, English",Bottle Rocket,6.8,285.0,,,"35, 80, 18","18, 441",Luke Wilson,2,36422,Owen Wilson,2,887,Lumi Cavazos,1,74940,Andrew Wilson,2,71555,Robert Musgrave,0,52797,Wes Anderson,2,5655,brother brother relationship,380,robbery,642,burglar,1437,language barrier,2568,motel,2669
False,12000000,Comedy,9614,en,9.592265,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions",US,1996-02-16,41205099.0,92.0,English,Happy Gilmore,6.5,767.0,,,35,"33, 1606, 3929",Adam Sandler,2,19292,Ben Stiller,2,7399,Christopher McDonald,2,4443,Julie Bowen,1,31171,Frances Bay,0,11794,Dennis Dugan,2,17494,loss of mother,936,loss of father,1872,golf,2702,sport,6075,taxes,6128
False,24000000,"Drama, Romance",688,en,5.951077,"Amblin Entertainment, Malpaso Productions, Warner Bros.",US,1995-05-28,182016617.0,135.0,English,The Bridges of Madison County,7.3,397.0,,,"18, 10749","56, 171, 6194",Meryl Streep,1,5064,Clint Eastwood,2,190,Annie Corley,1,6907,Victor Slezak,2,10379,Jim Haynie,2,10380,Clint Eastwood,2,190,farewell,455,adultery,596,love at first sight,699,photographer,1003,wife husband relationship,1157
False,72000000,"Action, Drama, History, War",197,en,20.755149,"Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",US,1995-05-24,210000000.0,177.0,"English, Français, Latin, ",Braveheart,7.7,3404.0,,,"28, 18, 36, 10752","4564, 7965, 11353",Mel Gibson,2,2461,Catherine McCormack,0,2462,Sophie Marceau,1,1957,Patrick McGoohan,2,2463,Angus Macfadyen,2,2464,Mel Gibson,2,2461,individual,30,scotland,388,in love with enemy,930,legend,3754,independence,4097
False,1300000,"Crime, Drama",103,en,14.092713,"Columbia Pictures Corporation, Italo/Judeo Productions, Bill/Phillips",US,1976-02-07,28262574.0,114.0,"English, Español",Taxi Driver,8.1,2632.0,,,"80, 18","441, 46059, 46060",Robert De Niro,2,380,Cybill Shepherd,1,1036,Harvey Keitel,2,1037,Jodie Foster,1,1038,Peter Boyle,2,1039,Martin Scorsese,2,1032,vietnam veteran,422,taxi,444,obsession,1523,drug dealer,2231,night shift,4225
False,7500000,"Crime, Action, Comedy, Thriller",33542,cn,12.314278,"New Line Cinema, Golden Harvest Company",HK,1995-01-30,32392047.0,91.0,"广州话 / 廣州話, English",Rumble in the Bronx,6.5,245.0,,,"80, 28, 35, 53","12, 2521",Jackie Chan,2,18897,Anita Mui,0,44917,Françoise Yip,1,10875,Bill Tung,0,44922,Marc Akerstream,2,44919,Stanley Tong,2,44916,new york,242,martial arts,779,supermarket,1545,gang war,2987,disabled child,4640
False,40000000,"Comedy, Romance",11066,en,6.506983,Paramount Pictures,US,1992-06-30,70100000.0,117.0,"Français, English",Boomerang,5.4,139.0,,,"35, 10749",4,Eddie Murphy,2,776,Robin Givens,1,59153,Halle Berry,1,4587,David Alan Grier,2,58563,Grace Jones,1,10661,Reginald Hudlin,2,68215,role of women,2273,ladykiller,2336,success,3836,ladies' man,6779,chefin,7769
False,0,"Drama, Comedy, Romance",11104,cn,6.778979,"Jet Tone Production, The Criterion Collection",HK,1994-07-14,0.0,102.0,"广州话 / 廣州話, English, 日本語, 普通话",Chungking Express,7.9,249.0,,,"18, 35, 10749","540, 10932",Brigitte Lin,1,56830,Tony Leung Chiu-Wai,2,1337,Faye Wong,1,12671,Takeshi Kaneshiro,2,43661,Valerie Chow,0,119875,Wong Kar-wai,2,12453,ex-girlfriend,1595,drug smuggle,3391,girlfriend,5490,snack bar,6618,romance,9840
