name,id
nightclub entertainer,191441
boa constrictor,227811
bomb,258
miami,416
sex,572
detective,703
handcuffs,772
based on novel,818
hostage,1562
fbi,1812
kidnapping,1930
russian,2808
kgb,3278
chase,3713
sadism,4426
parking garage,4530
pizza,4735
police protection,5430
psychopath,6259
remake,9714
car crash,9844
conspiracy,10410
on the run,10562
fugitive,10718
shootout,10950
gunfight,12371
sadist,13125
foot chase,14967
police detective,15167
police station,15321
car chase,15483
held at gunpoint,18320
fbi agent,18525
double cross,33456
cult film,34117
computer hacker,155555
machine gun,156650
swat team,156788
grenade launcher,156816
underwater scene,158247
rogue agent,176802
woman lawyer,181145
damsel in distress,188294
college,3616
paris,90
nun,745
boxer,2792
lawyer,10909
jewish,11508
florist,2778
family relationships,10235
bully,10624
man vs machine,312
alien planet,10158
struggle for survival,15354
,
loss of daughter,6381
hit-and-run driving ,6440
revenge,9748
suspense,9937
independent film,10183
tragedy,10614
jurors,1417
blackmail,1936
court case,3012
son,5153
trial,11038
courtroom,33519
fish,1357
money,10594
celebration,33648
goldfish,40846
father son relationship,494
bounty hunter,801
boat,1422
way of life,1587
coffin,1909
denver,1977
godmother,2022
paranoia,2340
hitman,2708
friendship,6054
psychopath,6259
revenge,9748
murder,9826
independent film,10183
mafia,10391
diner,10738
blood,11221
gangster,13142
violence,14819
illegal prostitution,33625
extramarital affair,34094
suicide,236
underdog,240
free love,460
philosophy,490
rape,570
mentally disabled,791
loss of mother,936
village life,1842
world war ii,1956
feminism,2383
indian summer ,3154
family history,3371
widow,4129
peasant,4402
village,5331
mathematics,6009
freedom,6089
right and justice,6145
single,9457
homosexuality,10180
mother daughter relationship,10707
domestic violence,11925
university,13160
woman director,187056
racial segregation,6984
family relationships,10235
rural setting,11004
african american,12532
,
class society,4034
rich woman - poor man,7579
scientist,14760
naturalist,182662
insect,208526
sailing trip,2082
diary,2913
sailing,3180
survival,10349
coming of age,10683
teenage boy,18068
discipline,46962
squall,167836
sail,167837
ship captain,167843
caribbean,167861
male bonding,167863
seasickness,167868
storm at sea,168683
1960s,208992
boss,5306
fistfight,5572
bully,10624
orangutan,14762
hotel manager,158039
nitrous oxide,169078
candid camera,169079
double act,169085
political satire,169086
crooked politician,169097
woman director,187056
assassination,441
train station,477
politics,6078
los angeles,12670
,
servant,964
monster,1299
laboratory,10124
jekyll and hyde,156033
housemaid,191009
19th century,207928
vampire,3133
half vampire,3630
hometown,155808
helicopter,720
river,1261
captain,1316
underground,1353
mexican standoff,1666
countdown,1825
pilot,3203
fistfight,5572
canyon,8122
major,9052
betrayal,10085
gunfight,12371
train,13008
explosion,14601
park ranger,15263
desert,18034
military,162365
nuclear device,208547
boxing,209476
stealth aircraft,214472
abandoned mine,215861
humvee,219869
play,14531
hamlet,185011
christmas,207317
actor,207716
paris,90
neo-nazi,376
skinhead,379
robbery,642
police brutality,796
hip-hop,898
gun,1419
socially deprived family,1952
breakdance,1974
arabian,1975
boredom,3925
revenge,9748
suburb,14632
violence,14819
police officer,15090
unemployment,156052
capture,156702
xenophobia,160910
,
narration,2398
hollywood,12396
prostitution,13059
corruption,417
undercover,1568
war on drugs,1601
mayor,1919
drug dealer,2231
presidential election,2946
undercover agent,4654
investigation,5340
police,6149
drug,14964
brother brother relationship,380
robbery,642
burglar,1437
language barrier,2568
motel,2669
independent film,10183
psychiatric hospital,10323
maid,13097
theft,14604
nervous breakdown,15274
escapade,187710
laundry room,187717
,
wife husband relationship,1157
experiment,1706
police,6149
murder,9826
suspense,9937
memory,10937
forensic,160313
gunman,163114
animal experimentation,168069
loss of mother,936
loss of father,1872
golf,2702
sport,6075
taxes,6128
farewell,455
adultery,596
love at first sight,699
photographer,1003
wife husband relationship,1157
iowa,2029
love of one's life,2038
mother role,2784
bridge,3450
housewife,3451
love letter,3452
peasant,4402
marriage crisis,5809
photography,6025
unsociability,6059
secret love,7879
nature documentary,221355
prophecy,530
voodoo,3392
single,9457
falling in love,13072
woman director,187056
rich man,196682
island,2041
pirate gang,4418
puppet,6300
treasure hunt,6956
,
ex-con,156121
individual,30
scotland,388
in love with enemy,930
legend,3754
independence,4097
idealism,6987
revolt,162845
tyranny,189433
vietnam veteran,422
taxi,444
obsession,1523
drug dealer,2231
night shift,4225
vigilante,7002
alienation,7368
misanthrope,9622
shot to death,11325
illegal prostitution,33625
loner,167104
new york,242
martial arts,779
supermarket,1545
gang war,2987
disabled child,4640
gang,10726
wedding,13027
diamond,33461
bronx,161307
duringcreditsstinger,179431
,
mining,6015
dance lesson,40897
coal mining,164742
bagpipes,188645
best friend,12392
twins,15016
country,17953
identity swap,177035
woman director,187056
fascism,1755
auschwitz,2450
typhus,4020
victim,4399
interview,4434
prejudice,10360
burglary,11728
rabbit,15199
london england,212
poison,351
based on true story,9672
murder,9826
serial killer,10714
mental institution,11857
teenager,13130
psychiatrist,15106
stepmother,232550
social misfit,234682
roommate,1253
single,9457
love,9673
independent film,10183
best friend,12392
brooklyn bridge,158967
brother brother relationship,380
twin brother,7375
lawyer,10909
estate,155881
santa barbara california,208563
hawaii,1668
australia,5657
teacher,10508
car,33885
solar power,175976
,
role of women,2273
ladykiller,2336
success,3836
ladies' man,6779
chefin,7769
casanova,8642
womanizer,9094
ex-girlfriend,1595
drug smuggle,3391
girlfriend,5490
snack bar,6618
romance,9840
hong kong,12354
pineapple,180294
expiration date,185265
flight attendant,185266
,
lsd,5498
looking for  birth parents,6230
half-brother,6231
independent film,10183
flying,334
magic,2343
woman director,187056
,
,
independent film,10183
woman director,187056
boy,5202
writer,13028
ireland,14985
flashback,187844
troop ship,208501
callgirl,550
san francisco,582
investigation,5340
murder,9826
new york,242
emigration,1625
dominican republic,190019
,
submarine,339
u.s. navy,4410
misfit,9789
biography,5565
homosexuality,10180
independent film,10183
mockumentary,11800
southern usa,531
based on novel,818
singer,10229
south,207981
,
skab under tv,238179
foran,238241
nederste hylde,238242
gay,237
drag queen,824
homophobia,1013
florida,1196
coming out,1862
senator,2944
politician,6083
lgbt,158718
crossdressing,201554
1990s,210608
mountain,1262
miracle,2618
apparition,10164
communism,173644
virgin mary,178611
love,9673
independent film,10183
best friend,12392
true love,188993
irish catholic,208725
miami,416
detective,703
handcuffs,772
airport,822
mexican standoff,1666
strip club,3688
witness protection,4009
car crash,9844
internal affairs,11730
gunfight,12371
explosion,14601
brutality,14707
foot chase,14967
car chase,15483
drug lord,18026
hangar,166856
loose cannon,167114
bust,167115
reference to skittles,167119
black cop,167124
badge,167128
action hero,219404
corrupt cop,226376
china,478
panda,8531
poacher,8723
sport,6075
basketball,6496
addiction,6782
friends,9713
drug,14964
england,392
based on novel,818
liverpool,6344
theatre company,206032
1940s,207883
independent film,10183
moon,305
florida,1196
nasa,1432
spaceman,2345
race against time,4776
houston,9609
based on true story,9672
space,9882
rescue,10084
survival,10349
disaster,10617
explosion,14601
astronaut,14626
imax,156395
saturn v rocket,184994
courage,189098
hypothermia,193479
apollo program,226233
cape kennedy,226234
lunar mission,226235
spacecraft accident,226236
scotland,388
biography,5565
18th century,160279
highlands,208070
violent man,220446
new york,242
philosophy,490
vampire,3133
blood,11221
student,12105
violence,14819
riddle,483
dc comics,849
rose,3259
gotham city,6969
partner,9104
superhero,9715
robin,10486
broken neck,10525
psychologist,11268
violence,14819
criminal,15009
district attorney,33518
millionaire,33626
falling down stairs,33981
tied up,34156
tommy gun,156116
beretta,157166
knocked out,157583
super powers,163455
disfigurement,170383
father figure,170652
prostitute,549
adultery,596
double life,848
dual identity,851
jealousy,931
wife husband relationship,1157
brothel,1411
dream,1566
women's sexual identity,2316
fantasy,2486
masochism,3260
independent film,10183
burma,5499
rangoon,5855
doctor,13005
smoking,919
corner shop,1901
cigarette,3170
tobacco,6357
cigar,6458
independent film,10183
,
halloween,3335
friendship,6054
supernatural,6152
afterlife,6155
friends,9713
danger,15017
ghost,162846
disorder,189449
young heroes,193545
imaginary,202322
supernatural ability,206813
mischievous children,206834
drug pusher,11505
train,13008
drug,14964
drug lord,18026
gorilla,690
kongo,2521
diamond mine,3379
diamond,33461
submarine,339
mutiny,1860
russia,2139
missile,2534
nuclear missile,3312
embassy,4123
u.s. navy,4410
battle for power,4933
torpedo,6791
military,162365
moral dilemma,198423
post cold war,217133
aircraft carrier,221092
chain of command,226740
launch code,226741
sonar,226742
underground,1353
biography,5565
art,14893
gunslinger,75
anti terror,139
ambush,502
mexico,534
showdown,797
guitar,953
nudity,2483
hitman,2708
bartender,3458
revenge,9748
tragic hero,10044
shootout,10950
mariachi,14575
explosion,14601
extreme violence,14687
brutality,14707
drug lord,18026
leg brace,41372
concealed weapon,154889
flashback,187844
bookstore,226790
jazz club,5823
murder,9826
los angeles,12670
private detective,155790
film noir,195402
neo-noir,207268
bomb,258
taxi,444
riddle,483
robbery,642
detective,703
helicopter,720
gold,1321
subway,1552
ship,3799
fistfight,5572
police,6149
sequel,9663
deception,9758
shootout,10950
new york city,14512
explosion,14601
violence,14819
car chase,15483
fbi agent,18525
simon says,177309
flashback,187844
dump truck,188329
aqueduct,192707
action hero,219404
federal reserve bank,226838
sex,572
eroticism,1664
nudity,2483
nazis,2652
suspense,9937
drifter,13017
voyeur,180340
,
camelot,3966
knight,10466
king arthur,10982
excalibur,177128
knights of the round table,177129
human animal relationship,2526
whale,4676
killer whale,155529
female nudity,293
hacker,2157
nudity,2483
computer virus,2812
virtual reality,4563
computer,6104
sexual fantasy,9835
prank,9864
internet,11615
cyberpunk,12190
teenager,13130
new york city,14512
secret service,41249
computer hacker,155555
dream sequence,160840
gay,237
aids,740
based on play or musical,10181
hiv positive,165770
brain,2588
childhood memory,3321
dystopia,4565
pharmaceutical industry,6135
computer chip,6566
courier,8662
cyber,10919
cyberpunk,12190
judge,934
post-apocalyptic,4458
dystopia,4565
based on comic,9717
police officer,15090
based on graphic novel,18712
frame up,160159
dystopic future,162988
framed for murder,180172
gene,182703
prosthetic limb,182706
post holocaust,182709
dna testing,182711
dredd,203165
2000 ad,236590
stripper,6593
jury,8881
jurist,9465
independent film,10183
jury duty,10639
verdict,10640
puberty,1525
first time,2201
cinema,1388
independent film,10183
filmmaker,11614
fanatic,3419
supernatural,6152
wizardry,6333
resurrection,6506
sect,173162
occultism,221387
,
suicide attempt,1252
college,3616
teen angst,10049
mental illness,41329
woman director,187056
sex,572
game show,4325
slacker,8631
shopping,41175
mall,157690
ex-boyfriend ex-girlfriend relationship,162296
jay and silent bob,168033
silent man,171329
coke,171343
bandleader,171346
aftercreditsstinger,179430
based on tv series,10988
tokusatsu,12667
superhero team,155030
ethnic diversity,173577
super sentai,191474
power rangers,201635
mighty morphin power rangers,203223
mmpr,203224
widow,4129
female friendship,5248
grief,9872
death of husband,175421
chase,3713
police,6149
murder,9826
mute,10392
disk,197452
new york,242
vampire,3133
dracula,3633
cheating,1332
new identity,2547
computer virus,2812
chase,3713
computer,6104
stalking,10333
parent child relationship,970
baby,1009
marriage,6038
pregnancy,13149
child wish,168386
library,295
party,8508
independent film,10183
free spirit,11678
woman director,187056
librarian,207447
angel,290
archangel gabriel,3648
menschheit,9511
trauma,2754
game show,4325
female protagonist,11322
christmas,207317
sex,572
chemical,852
medicine,1279
housewife,3451
pollution,6305
quarantine,6898
independent film,10183
allergy,12097
psychiatrist,15106
illness,40895
disorder,189449
retreat,202579
multiple chemical sensitivity (mcs),235410
environmental illness,235411
based on novel,818
burning of witches,2871
puritan,10223
pregnancy,13149
period drama,15060
extramarital affair,34094
,
dancing,246
female nudity,293
go-go dancer,1663
spanner,2874
seduction,3182
striptease,4378
sexappeal,7017
smoking,919
robber,1621
cigarette,3170
cigar,6458
laden,8736
independent film,10183
writer,13028
horse,2673
savannah,7323
based on true story,9672
family,18035
telepathy,1475
dna,1718
paranoia,2340
genetics,6017
instinct,6245
femme fatale,9016
alien,9951
on the run,10562
decapitation,11181
sexual attraction,11190
los angeles,12670
cocoon,163481
genetic engineering,163561
scientists,234319
alien dna,235513
restaurant,1946
oil,10590
rural setting,11004
pornography,445
prostitute,549
rape,570
police brutality,796
dream,1566
ex-girlfriend,1595
future,2964
bodyguard,3088
rapper,4562
virtual reality,4563
dystopia,4565
minidisc,4566
police,6149
ex-cop,8440
murder,9826
cyberpunk,12190
los angeles,12670
violence,14819
criminal,15009
private detective,155790
revolt,162845
woman director,187056
car mechanic,3296
letter,3344
musical,4344
war,6091
single,9457
,
baseball,1480
drifter,13017
dog,15162
korean war,158534
woman director,187056
mentor,1310
poet,5933
woman director,187056
transvestism,108
gay,237
new york,242
drag queen,824
homophobia,1013
travel,9935
road movie,167043
woman director,187056
terrorist,949
pentagon,2314
satellite,3376
navy seal,11219
train,13008
woman director,187056
fashion,15479
world war ii,1956
vineyard,5334
love,9673
remake,9714
pregnancy,13149
harvest,190061
grape,191795
abandoned woman,229895
ocean,270
tattoo,331
mutant,1852
water,4237
dystopia,4565
doomsday,34161
dystopia,4565
black white relations,11504
alternative universe,208507
opium,1632
loss of eyesight,2490
biography,5565
sioux,8099
wild bill hickok,180234
calamity jane,190970
,
cave,1964
waterfall,5739
children,10103
mistaken identity,10325
boy scouts leader,169995
wife husband relationship,1157
colonel,10786
monk,345
mountain,1262
restaurant,1946
war photographer,4747
christian,5950
fashion photographer,6805
girl,14659
violence,14819
albanian,182045
macedonia,206119
dialogue,811
sunrise,813
talking,814
soulmates,815
walking,816
austria,1201
traveller,197528
danube,215205
bittersweet,224279
romantic,233027
vienna,233055
woman director,187056
alcohol,567
obsession,1523
babysitter,2604
party,8508
teenager,13130
parents,159947
aids,740
roommate,1253
homicide,1849
car journey,1926
friendship,6054
friends,9713
homosexuality,10180
escape,10685
road movie,167043
mississippi,787
castle,3098
voyeurism,178649
forbidden love,3691
moral conflict,4690
independent film,10183
salesclerk,1361
loser,3090
aftercreditsstinger,179430
sex addiction,5906
love,9673
mental institution,11857
patient,14781
psychiatrist,15106
don juan,180077
employee,6021
workplace,6282
sexual harassment,10850
intrigue,34038
vision,10629
psychic,14742
terrorist,949
transport of prisoners,3543
airplane,3800
parachuting,4679
suspense,9937
heist,10051
expectant father,160945
married couple,2587
chile,6460
pinochet-regime,9137
revenge,9748
doctor,13005
torture,13006
humiliation,33740
child abuse,516
detective,703
based on novel,818
bar,1010
island,2041
suspicion of murder,2619
murder,9826
suspense,9937
dysfunctional family,10041
domestic violence,11925
reporter,12193
maid,13097
anger,18047
alcoholic,33457
accident,207819
abusive father,212642
abusive husband,212643
anti-depressant,212644
bangor-maine,212645
bank account,212646
gas station,1420
motel,2669
utah,5303
stupidity,6241
pill,8126
prank,9864
cigar smoking,11333
violence,14819
criminal,15009
fired from the job,18326
clumsiness,159574
stepmother stepdaughter relationship,160962
sitting on a toilet,167310
aspen colorado,167584
parakeet,167591
defecation,167598
scooter,167608
hotel suite,167615
endangered species,167617
foolish,167619
laxative,215404
cooking,1918
sense of life,2875
daughter,5600
dating,13043
family,18035
secret,1328
nightclub,2334
pet shop,2589
independent film,10183
unhappiness,156455
female nudity,293
sexuality,738
island,2041
love,9673
mistress,11869
kinky,155271
smuggler,155336
bdsm,158713
individual,30
taxi,444
transsexuality,571
fortune teller,663
film business,774
film making,886
film producer,887
vororte,1950
film maker,2559
boxer,2792
film director,2793
oddball,2794
celebrity,6562
morphine,10338
movie studio,10732
los angeles,12670
drug addict,18179
cult director,155167
theremin,162687
handgun,173594
trick or treating,180193
actor,207716
transvestite,232471
paris,90
airport,822
in love with enemy,930
canadian,2519
necklace,2599
fear of flying,4544
deal,5011
vineyard,5334
smuggling,6212
paris,90
dallas,5720
basketball,6496
crisis,6711
falling in love,13072
referee,177216
wilderness,3593
boy and dog,158416
father son relationship,494
pop singer,2032
musical,4344
celebrity,6562
road trip,7312
dead mother,14809
first love,157303
goofy,166475
suspense,9937
father son relationship,494
based on novel,818
reincarnation,5484
talking dog,11478
car accident,13063
dog,15162
flashback,187844
dog movie,238687
brother brother relationship,380
opera,2199
eunuch,4001
biography,5565
dresden,6384
opera singer,164920
country music,727
,
,
chicago,520
sports team,1483
ghetto,2394
narration,2398
college,3616
sport,6075
basketball,6496
high school sports,8635
independent film,10183
inner city,33905
high school student,33910
mother,456
sex,572
secret,1328
obsession,1523
literature,2132
nudity,2483
fantasy,2486
passion,2983
love,9673
friends,9713
murder,9826
independent film,10183
lesbian,10768
true,10984
relationship,14534
,
deafness,1643
sister-in-law,164181
character study,164186
uncle nephew relationship,164193
für elise,164199
overweight,2064
summer camp,5767
,
wedding vows,1334
mathematician,2303
car mechanic,3296
comet,4803
albert einstein,8689
halley's comet,155585
paris,90
san francisco,582
vampire,3133
plantation,3136
pity,3143
bite,4197
fang vamp,231407
france,254
revolution,2020
biography,5565
president,8570
history,9682
new york,242
telephone joke,2601
gangster,13142
baby,1009
medicine,1279
media,6007
pregnancy,13149
scientist,14760
science,156810
male pregnancy,221297
fertility,228611
gynaecology,228637
ceasarean birth,228638
rape,570
black people,577
florida,1196
professor,1992
harvard university,2463
innocence,6139
revenge,9748
suspense,9937
time travel,4379
kids,161155
medieval times,189151
hoodlum,160488
android,803
galaxy,4270
hermit,4271
death star,10013
lightsaber,10016
jedi,10527
rescue mission,11107
empire,11195
rebellion,11196
planet,13194
smuggler,155336
the force,160134
space opera,161176
galactic war,163295
stormtrooper,178710
totalitarianism,178712
depression,894
mother daughter relationship,10707
pregnant,10721
desire,33513
chalkboard,174566
 nightgown,174570
louisa may alcott,174571
birth of twins,174584
woman director,187056
based on novel,818
servant,964
private school,3551
female friendship,5248
boarding school,6271
british,6731
school,10873
little girl,12663
orphan,13014
india,14636
rich poor,14864
father daughter relationship,15300
schoolgirl,41172
presumed dead,155402
attic,155619
imagination,170344
african american servant,186797
fantasy life,196727
love,9673
children,10103
family,18035
social services,170154
,
chocolate,715
jealousy,931
sister sister relationship,1156
cooking,1918
mexican revolution,2940
marriage,6038
wedding,13027
single mother,14768
recipe,41607
magic realism,156597
new mexican cinema,209987
new latin american cinema,213202
brother brother relationship,380
montana,680
based on novel,818
world war i,2504
journey round the world,5973
headquarter,2112
military base,4409
military service,5947
base,6417
major,9052
military spoof,11138
instructor,162257
russian mafia,8045
dysfunctional family,10041
brothers,232235
east los angeles,10211
gang,10726
los angeles,12670
poverty,12987
gang member,33426
hispanic,41334
mexican american,164253
girl gang,180085
woman director,187056
cholo,206318
chola,230668
cruise,2799
disabled,158558
empire state building,189008
accident,207819
accident victim,208280
mother,456
child abuse,516
single parent,641
based on novel,818
smoking,919
baby,1009
social work,1751
drug addiction,1803
adoption,2393
liberation,2434
social worker,2438
self-abandonment,2488
court case,3012
custody battle,4056
son,5153
looking for  birth parents,6230
surrogate mother,7638
racist,7856
interracial relationship,10131
extramarital affair,34094
queen,2011
kingdom,4152
biography,5565
victorian england,8250
psychopathy,18130
human experimentation,4005
frankenstein,6737
remake,9714
,
holiday,65
rollerblades,171770
cross dresser,172789
woman director,187056
suicide hotline,192598
christmas,207317
prostitute,549
tree house,2005
red-light disctrict,4750
young people,6517
stripper,6593
make a match,6664
mob boss,166462
holiday,65
competition,271
new love,1605
santa claus,1991
department store,2081
miracle,2618
wish,4896
christmas,207317
,
immigrant,2356
marriage,6038
independent film,10183
family relationships,10235
los angeles,12670
family,18035
death of wife,208397
prison,378
prisoner,1563
death row,2501
alcatraz,3859
lawyer,10909
courtroom,33519
murder trial,207240
1940s,207883
mistreatment,211082
public defender,215596
prisoner abuse,223044
illegal employment,2294
retirement,4948
drama,8029
loss of mother,936
loss of sister,1578
twin sister,1608
autism,1646
lake,1889
kaspar-hauser-syndrom,2171
feral child,5650
forest,5774
north carolina,5922
psychologist,11268
family,18035
new jersey,586
police,6149
brutality,14707
troubled teen,156316
hiphop,201820
black youths,208384
,
suicide,236
detective,703
experiment,1706
hallucination,3298
scientist,14760
drug,14964
killer,15127
cyborg,679
post-apocalyptic,4458
sequel,9663
,
sadistic,625
journalist,736
mass murder,1583
yellow press,1584
trauma,2754
daughter,5600
satire,8201
controversy,9701
controversial,9859
violence,14819
young couple,206545
abuse,207691
venice,110
italy,131
fortune teller,663
soulmates,815
cheating,1332
trip,1820
individual,30
slum,100
suicide,236
tattoo,331
alcohol,567
